# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-97.4208368128022,-90.0,0.2703678155081324,3.698665087486795,0.0,0.0
 0.16456662299785998,0.01354108670245989,0.08228331149892999,0.5,-97.4208368128022,-90.03318857987935,0.2703678155081324,3.698665087486795,0.0,0.0
 0.23221811853648747,0.02696262728831307,0.1983923707671737,1.716282224713688,-97.62967507836163,-90.0663771597587,0.27546577073057077,3.6302150984054062,-3.086971897616101,-45.6305048844561
 0.2837792213441933,0.04026532323335834,0.2579986699403406,1.1560322787405295,-97.84056985826125,-90.09956573963804,0.2806733531153666,3.5628604885372384,-4.090191412044076,-19.456905686626293
 0.3269552767910576,0.053449876510758554,0.3053672490676253,1.0971029807384796,-98.05354598656822,-90.13275431951739,0.2859930398773216,3.4965885898095834,-4.932737048410744,-19.514187381095255
 0.36473823378842196,0.06651698959354878,0.34584675528973974,1.0713694596465333,-98.26862856380376,-90.16594289939674,0.2914273595208658,3.431386818465139,-5.6925819027490405,-20.11078313408082
 0.39866618983049185,0.07946736545698087,0.3817022118094565,1.0568115708254526,-98.48584295579019,-90.19913147927609,0.29697889293615787,3.3672426687070045,-6.402224517064659,-20.916161687891776
 0.42965499550385194,0.09230170758070749,0.4141605926671715,1.047422775819276,-98.70521479268112,-90.23232005915544,0.3026502735386453,3.3041437177895374,-7.079067170359188,-21.841521110198364
 0.4583027819046716,0.10502071995078045,0.44397888870426117,1.0408586415680805,-98.92676996735567,-90.26550863903479,0.3084441881690814,3.242077621679242,-7.733762447635396,-22.853258821333444
 0.48502599324462037,0.1176251070614652,0.4716643875746453,1.0360094270929496,-99.15053463381577,-90.29869721891413,0.3143633772550413,3.181032118727702,-8.373419781536372,-23.936394685647116
 0.5101285601039135,0.13011557391684597,0.49757727667426654,1.0322804534241539,-99.37653520507091,-90.33188579879348,0.32041063556445815,3.120995026392707,-9.003086119516935,-25.08374308930317
 0.5338404743595607,0.14249282603222035,0.5219845172317379,1.029323921060423,-99.60479835087197,-90.36507437867283,0.32658881226695896,3.061954244723435,-9.626517004914685,-26.291883425197277
 0.5563408477458074,0.15475756943526178,0.5450906610526848,1.0269226836506857,-99.83535099499076,-90.39826295855218,0.33290081152157097,3.0038977538965925,-10.246614141066425,-27.559415370892232
 0.5777724650187795,0.16691051066693838,0.5670566563822933,1.0249340985250925,-100.06822031223396,-90.43145153843153,0.33934959271978543,2.94681361478969,-10.865690361915105,-28.886117783999808
 0.5982513799101105,0.17895235678217558,0.5880119224644432,1.0232605679229938,-100.3034337250842,-90.46464011831087,0.345938170688826,2.8906899692763526,-11.485638477350667,-30.2725080271708
 0.6178734746697649,0.19088381535024423,0.6080624272899368,1.0218330443862655,-100.54101889991975,-90.49782869819022,0.3526696158284269,2.8355150404748737,-12.108043394226792,-31.719595919792827
 0.636719081628405,0.2027055944548596,0.6272962781490848,1.020601294580755,-100.78100374287402,-90.53101727806957,0.35954705424740424,2.7812771323997563,-12.734259155514424,-33.228739337606385
 0.6548563242329904,0.21441840269397167,0.645787702930698,1.0195278954331297,-101.02341639522682,-90.56420585794892,0.36657366775574957,2.7279646301989877,-13.365463407954913,-34.80155535224004
 0.6723435865377705,0.22602294917923613,0.6635999553853794,1.0185843926989395,-101.26828522841733,-90.59739443782827,0.37375269396792593,2.6755659989592377,-14.00269687288816,-36.43986427532824
 0.6892313741192312,0.23751994353514172,0.6807874803285018,1.0177487643195322,-101.5156388386229,-90.63058301770762,0.38108742564875164,2.6240697873923033,-14.646892555488876,-38.14565285673705
 0.7055637404200602,0.2489100958977729,0.6973975572696429,1.0170036989862288,-101.7655060406233,-90.66377159758696,0.3885812111913668,2.573464622579305,-15.298897746843725,-39.92104875346538
 0.7213793965912788,0.2601941169131986,0.7134715685056684,1.0163353996830702,-102.01791586154512,-90.69696017746631,0.39623745360123036,2.5237392147345834,-15.959490911365375,-41.76830587173489
 0.736712586746628,0.2713727177354538,0.7290459916689547,1.015732734381628,-102.27289753372295,-90.73014875734566,0.4040596105376039,2.4748823537930296,-16.629394770068313,-43.68979005123949
 0.7515937865949973,0.28244661002410304,0.7441531866708122,1.0151866217637662,-102.53048048724418,-90.76333733722501,0.4120511932636645,2.4268829124834426,-17.309286626471263,-45.68797296794942
 0.7660502672036004,0.29341650594135366,0.7588220268993016,1.0146895794097996,-102.79069434176405,-90.79652591710436,0.4202157664422393,2.3797298432338923,-17.999806561841464,-47.76542466077613
 0.7801065544510034,0.304283118148708,0.7730784108272976,1.0142353864196907,-103.0535688978477,-90.82971449698371,0.4285569468842933,2.3334121807387045,-18.701564037275773,-49.92481037721832
 0.7937848068628114,0.3150471598031152,0.7869456806569061,1.0138188280278668,-103.31913412761212,-90.86290307686305,0.43707840268281223,2.2879190412107824,-19.41514323388019,-52.16888642794812
 0.8071051289052888,0.32570934455261125,0.8004449678840474,1.0134354998395056,-103.58742016468958,-90.8960916567424,0.4457838523134809,2.2432396211982737,-20.141107416315666,-54.50049781982993
 0.820085832741201,0.3362703865314142,0.8135954808232396,1.0130816560817248,-103.85845729366982,-90.92928023662175,0.4546770629386192,2.1993631997552483,-20.880002533482617,-56.92257727371784
 0.832743658462131,0.34673100035444687,0.8264147456016638,1.0127540907145816,-104.13227593858514,-90.9624688165011,0.46376184927012026,2.156279136746208,-21.632360166135896,-59.43814121324439
